Datetime,Water Level (m)
2023-04-08 00:00:00,0.0180362
2023-04-08 01:00:00,0.014827147
2023-04-08 02:00:00,0.010999761
2023-04-08 03:00:00,0.008082785
2023-04-08 04:00:00,0.0076084933
2023-04-08 05:00:00,0.010138115
2023-04-08 06:00:00,0.015755344
2023-04-08 07:00:00,0.02547502
2023-04-08 08:00:00,0.030276602
2023-04-08 09:00:00,0.033592317
2023-04-08 10:00:00,0.03446488
2023-04-08 11:00:00,0.032936968
2023-04-08 12:00:00,0.028726967
2023-04-08 13:00:00,0.023163501
2023-04-08 14:00:00,0.017655399
2023-04-08 15:00:00,0.013145911
2023-04-08 16:00:00,0.012722956
2023-04-08 17:00:00,0.021887287
2023-04-08 18:00:00,0.033690814
2023-04-08 19:00:00,0.046908036
2023-04-08 20:00:00,0.05932937
2023-04-08 21:00:00,0.0691459
2023-04-08 22:00:00,0.07577446
2023-04-08 23:00:00,0.07570801
2023-04-09 00:00:00,0.07184828
2023-04-09 01:00:00,0.06694724
2023-04-09 02:00:00,0.061987035
2023-04-09 03:00:00,0.057984237
2023-04-09 04:00:00,0.060412027
2023-04-09 05:00:00,0.06828167
2023-04-09 06:00:00,0.07774163
2023-04-09 07:00:00,0.08751174
2023-04-09 08:00:00,0.09607178
2023-04-09 09:00:00,0.102337666
2023-04-09 10:00:00,0.105301976
2023-04-09 11:00:00,0.10159486
2023-04-09 12:00:00,0.0948862
2023-04-09 13:00:00,0.086713314
2023-04-09 14:00:00,0.078274086
2023-04-09 15:00:00,0.070744924
2023-04-09 16:00:00,0.06847047
2023-04-09 17:00:00,0.074149266
2023-04-09 18:00:00,0.0831206
2023-04-09 19:00:00,0.09387533
2023-04-09 20:00:00,0.10498013
2023-04-09 21:00:00,0.114497036
2023-04-09 22:00:00,0.121718764
2023-04-09 23:00:00,0.12578699
2023-04-10 00:00:00,0.1261607
2023-04-10 01:00:00,0.12026605
2023-04-10 02:00:00,0.1132839
2023-04-10 03:00:00,0.10730011
2023-04-10 04:00:00,0.103995666
2023-04-10 05:00:00,0.108560175
2023-04-10 06:00:00,0.11506348
2023-04-10 07:00:00,0.12223739
2023-04-10 08:00:00,0.12913789
2023-04-10 09:00:00,0.13464318
2023-04-10 10:00:00,0.13784648
2023-04-10 11:00:00,0.13793495
2023-04-10 12:00:00,0.13281736
2023-04-10 13:00:00,0.12487567
2023-04-10 14:00:00,0.11554933
2023-04-10 15:00:00,0.10654977
2023-04-10 16:00:00,0.10143176
2023-04-10 17:00:00,0.1046791
2023-04-10 18:00:00,0.111034445
2023-04-10 19:00:00,0.12040373
2023-04-10 20:00:00,0.13128603
2023-04-10 21:00:00,0.14215782
2023-04-10 22:00:00,0.15256575
2023-04-10 23:00:00,0.15878384
2023-04-11 00:00:00,0.1618123
2023-04-11 01:00:00,0.16094872
2023-04-11 02:00:00,0.156621
2023-04-11 03:00:00,0.15008093
2023-04-11 04:00:00,0.14398156
2023-04-11 05:00:00,0.14340529
2023-04-11 06:00:00,0.1468621
2023-04-11 07:00:00,0.1521508
2023-04-11 08:00:00,0.15784267
2023-04-11 09:00:00,0.16294603
2023-04-11 10:00:00,0.16676955
2023-04-11 11:00:00,0.16864388
2023-04-11 12:00:00,0.16772054
2023-04-11 13:00:00,0.16126911
2023-04-11 14:00:00,0.15065393
2023-04-11 15:00:00,0.14079678
2023-04-11 16:00:00,0.13349296
2023-04-11 17:00:00,0.1310331
2023-04-11 18:00:00,0.13456418
2023-04-11 19:00:00,0.14124902
2023-04-11 20:00:00,0.15031897
2023-04-11 21:00:00,0.16077125
2023-04-11 22:00:00,0.17033727
2023-04-11 23:00:00,0.1776409
2023-04-12 00:00:00,0.18227363
2023-04-12 01:00:00,0.18334989
2023-04-12 02:00:00,0.18144955
2023-04-12 03:00:00,0.17706205
2023-04-12 04:00:00,0.16970588
2023-04-12 05:00:00,0.16309439
2023-04-12 06:00:00,0.16167192
2023-04-12 07:00:00,0.16344531
2023-04-12 08:00:00,0.16676138
2023-04-12 09:00:00,0.16996412
2023-04-12 10:00:00,0.17242454
2023-04-12 11:00:00,0.17368798
2023-04-12 12:00:00,0.17287157
2023-04-12 13:00:00,0.16722983
2023-04-12 14:00:00,0.15726146
2023-04-12 15:00:00,0.14861967
2023-04-12 16:00:00,0.14106096
2023-04-12 17:00:00,0.13481659
2023-04-12 18:00:00,0.13213749
2023-04-12 19:00:00,0.1349971
2023-04-12 20:00:00,0.14092764
2023-04-12 21:00:00,0.14980277
2023-04-12 22:00:00,0.15988006
2023-04-12 23:00:00,0.16888206
2023-04-13 00:00:00,0.17583728
2023-04-13 01:00:00,0.17998546
2023-04-13 02:00:00,0.18118738
2023-04-13 03:00:00,0.17959733
2023-04-13 04:00:00,0.174545
2023-04-13 05:00:00,0.16690157
2023-04-13 06:00:00,0.15961327
2023-04-13 07:00:00,0.15467797
2023-04-13 08:00:00,0.15494446
2023-04-13 09:00:00,0.15700163
2023-04-13 10:00:00,0.15967757
2023-04-13 11:00:00,0.16190533
2023-04-13 12:00:00,0.16366261
2023-04-13 13:00:00,0.16149029
2023-04-13 14:00:00,0.15615
2023-04-13 15:00:00,0.14926808
2023-04-13 16:00:00,0.14286818
2023-04-13 17:00:00,0.13620386
2023-04-13 18:00:00,0.12988873
2023-04-13 19:00:00,0.12696561
2023-04-13 20:00:00,0.13106747
2023-04-13 21:00:00,0.13818194
2023-04-13 22:00:00,0.14689736
2023-04-13 23:00:00,0.15705954
2023-04-14 00:00:00,0.16714175
